project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,software_quality_maintainability_remediation_effort,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBC,LC,LLF,LTCE,CCC,LMC,MNC
ultralytics,2022/9/12,0,0,0,0,1,0,0,1,0,13,13,0,0,0.4,1,0,1,1200,5,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,py=40,2,1,13,6,13,50,0,40,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/9/19,0,0,0,0,1,0,0,1,0,13,13,0,0,0,0,0,1,1290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,py=43,12,1,13,5,10.4,62,0,43,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/9/26,0,0,0,0,1,0,0,1,0,13,13,0,0,0,0,0,1,1290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,py=43,12,1,13,5,10.4,62,0,43,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/10/3,0,0,0,0,1,0,0,1,0,13,13,0,0,0,0,0,1,1290,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,py=43,12,1,13,5,10.4,62,0,43,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/10/10,0,0,0,0,515,486,50,5,5,1776,1776,0,0,0.7,80,0,1,63330,442,0,0,0,1,0,0,0,0,5,85,31,16,26,85,7,py=2111,30,203,1827,717,25.4,3044,30,2111,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/10/17,0,0,0,0,968,1056,65,5,8,3278,3278,0,0,0.8,134,0,1,111960,896,0,0,0,1,0,0,0,0,5,142,66,17,40,142,14,py=3732,40,342,3336,1452,28,5220,66,3732,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/10/24,0,0,0,0,988,1065,30,5,5,3344,3344,0,0,0.8,141,0,1,114120,961,0,0,0,1,0,0,0,0,1,146,69,19,42,146,15,py=3804,42,353,3403,1473,27.9,5330,67,3804,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/10/31,229,14,4,4,1025,1100,25,5,4,3552,3552,0,0,0.8,149,0,1,123150,1000,0,0,0,1,0,0,0,0,1,153,76,19,41,153,16,py=4105,45,366,3611,1513,26.9,5705,70,4105,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/11/7,175,14,2.5,4,1227,1313,40,5,6,4220,4220,0,0,0.9,189,0,1,147570,1264,0,0,0,1,0,0,0,0,2,195,93,26,50,195,24,py=4919,48,435,4302,1885,27.7,6907,76,4919,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/11/14,175,14,2.5,4,1237,1331,40,5,6,4245,4245,0,0,0.9,193,0,1,149220,1275,0,0,0,1,0,0,0,0,2,199,94,29,50,199,24,py=4974,48,437,4327,1893,27.6,6958,76,4974,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/11/21,175,14,2.5,4,1276,1382,40,5,6,4373,4373,0,0,0.9,188,0,1,153390,1306,0,0,0,1,0,0,0,0,2,194,92,28,49,194,23,py=5113,49,451,4455,1913,27.2,7140,77,5113,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/11/28,560,28,6.9,8,1502,1682,60,5,8,5084,5084,0,0,0.9,219,0,1,177060,1548,0,0,0,1,0,0,0,0,4,227,109,33,56,227,25,py=5902,54,509,5167,2113,26.4,8147,79,5902,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/12/5,392,19,4.4,8,1669,1845,60,5,8,5574,5574,0,0,0.8,228,0,1,192570,1614,0,0,0,1,0,0,0,0,4,236,110,32,63,236,27,py=6419,58,564,5657,2257,26,8848,87,6419,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/12/12,392,19,4.3,8,1696,1865,60,5,8,5674,5674,0,0,0.8,233,0,1,195960,1656,0,0,0,1,0,0,0,0,4,241,111,32,64,241,30,py=6532,58,578,5766,2315,26.2,9044,87,6532,0,0,0,0,0,0,0,0,0,0
ultralytics,2022/12/19,232,13,2.5,6,1748,1854,70,5,9,5827,5827,0,0,0.8,240,0,1,201450,1579,0,0,0,1,0,0,0,0,5,249,102,32,77,249,33,py=6715,62,626,5926,2325,25.7,9375,95,6715,5,0,0,0,0,0,0,0,0,0
ultralytics,2022/12/26,928,41,7.6,14,2193,2363,52,5,8,7449,7449,0,0,0.7,276,0,1,259950,1830,0,0,0,1,0,0,0,0,3,284,133,31,83,284,34,py=8665,64,741,7576,3284,27.5,12244,110,8665,5,0,0,0,0,0,0,0,0,0
ultralytics,2023/1/2,722,30,5.4,10,2315,2474,58,5,11,7891,7891,0,0,0.7,269,0,1,274440,1853,0,0,0,1,0,0,0,0,3,280,128,26,84,280,39,py=9148,68,803,8075,3896,29.9,13443,110,9148,5,0,0,0,0,0,0,0,0,0
