project,version,duplicated_lines,duplicated_blocks,duplicated_lines_density,duplicated_files,complexity,cognitive_complexity,reliability_remediation_effort,reliability_rating,bugs,lines_to_cover,uncovered_lines,line_coverage,coverage,sqale_debt_ratio,code_smells,effort_to_reach_maintainability_rating_a,sqale_rating,development_cost,sqale_index,normalized_td,vulnerabilities,security_remediation_effort,security_rating,wont_fix_issues,reopened_issues,false_positive_issues,confirmed_issues,blocker_violations,open_issues,major_violations,info_violations,critical_violations,violations,minor_violations,ncloc_language_distribution,files,functions,statements,comment_lines,comment_lines_density,lines,classes,ncloc,LPL,LM,LSC,LBC,LC,LLF,LTCE,CCC,LMC,MNC
yolov5,2021/8/16,0,0,0,0,1340,1781,15,3,3,4785,4785,0,0,1.1,221,0,1,159660,1804,0,0,0,1,0,0,0,0,1,224,133,3,40,224,47,py=5322,31,381,4866,2483,31.8,7725,67,5322,0,0,0,0,0,0,0,0,0,0
yolov5,2021/8/23,0,0,0,0,1354,1793,15,3,3,4812,4812,0,0,1.1,223,0,1,160530,1814,0,0,0,1,0,0,0,0,1,226,134,3,41,226,47,py=5351,31,386,4893,2497,31.8,7774,69,5351,0,0,0,0,0,0,0,0,0,0
yolov5,2021/8/30,0,0,0,0,1364,1806,15,3,3,4831,4831,0,0,1.1,226,0,1,161160,1827,0,0,0,1,0,0,0,0,1,229,135,3,41,229,49,py=5372,31,390,4912,2511,31.9,7810,70,5372,0,0,0,0,0,0,0,0,0,0
yolov5,2021/9/6,0,0,0,0,1377,1833,15,3,3,4858,4858,0,0,1.1,219,0,1,162420,1826,0,0,0,1,0,0,0,0,1,222,135,3,41,222,42,py=5414,31,382,4921,2478,31.4,7801,70,5414,0,0,0,0,0,0,0,0,0,0
yolov5,2021/9/13,0,0,0,0,1384,1828,10,3,2,4874,4874,0,0,1.1,220,0,1,162930,1829,0,0,0,1,0,0,0,0,1,222,135,3,41,222,42,py=5431,31,383,4937,2483,31.4,7816,70,5431,0,0,0,0,0,0,0,0,0,0
yolov5,2021/9/20,0,0,0,0,1402,1854,10,3,2,4913,4913,0,0,1.1,221,0,1,164730,1840,0,0,0,1,0,0,0,0,1,223,134,3,42,223,43,py=5491,31,384,4976,2501,31.3,7862,70,5491,0,0,0,0,0,0,0,0,0,0
yolov5,2021/9/27,0,0,0,0,1402,1850,10,3,2,4920,4920,0,0,1.1,220,0,1,165150,1826,0,0,0,1,0,0,0,0,1,222,134,3,42,222,42,py=5505,31,385,4983,2506,31.3,7880,70,5505,0,0,0,0,0,0,0,0,0,0
yolov5,2021/10/4,0,0,0,0,1407,1861,10,3,2,4945,4945,0,0,1.1,212,0,1,165930,1816,0,0,0,1,0,0,0,0,1,214,129,3,40,214,41,py=5531,31,386,5008,2523,31.3,7914,70,5531,0,0,0,0,0,0,0,0,0,0
yolov5,2021/10/11,0,0,0,0,1428,1896,20,3,4,5007,5007,0,0,1.1,213,0,1,167880,1850,0,0,0,1,0,0,0,0,1,217,130,3,40,217,43,py=5596,31,392,5070,2538,31.2,7995,71,5596,0,0,0,0,0,0,0,0,0,0
yolov5,2021/10/18,0,0,0,0,1432,1907,20,3,4,5016,5016,0,0,1.1,214,0,1,168240,1860,0,0,0,1,0,0,0,0,1,218,131,3,40,218,43,py=5608,31,392,5079,2538,31.2,8006,71,5608,0,0,0,0,0,0,0,0,0,0
yolov5,2021/10/25,0,0,0,0,1438,1911,20,3,4,5058,5058,0,0,1.1,214,0,1,169560,1862,0,0,0,1,0,0,0,0,1,218,131,3,40,218,43,py=5652,32,394,5122,2565,31.2,8075,71,5652,0,0,0,0,0,0,0,0,0,0
yolov5,2021/11/1,0,0,0,0,1447,1925,20,3,4,5074,5074,0,0,1.1,213,0,1,170220,1864,0,0,0,1,0,0,0,0,1,217,130,3,40,217,43,py=5674,32,397,5138,2577,31.2,8109,72,5674,0,0,0,0,0,0,0,0,0,0
yolov5,2021/11/8,0,0,0,0,1469,1964,20,3,4,5143,5143,0,0,1.1,227,0,1,172410,1912,0,0,0,1,0,0,0,0,1,231,136,3,46,231,45,py=5747,32,399,5208,2619,31.3,8201,73,5747,0,0,0,0,0,0,0,0,0,0
yolov5,2021/11/15,0,0,0,0,1468,1964,20,3,4,5143,5143,0,0,1.1,230,0,1,172380,1927,0,0,0,1,0,0,0,0,1,234,137,3,46,234,47,py=5746,32,398,5208,2634,31.4,8212,73,5746,0,0,0,0,0,0,0,0,0,0
yolov5,2021/11/22,0,0,0,0,1491,1998,20,3,4,5231,5231,0,0,1.1,231,0,1,175230,1939,0,0,0,1,0,0,0,0,1,235,137,3,47,235,47,py=5841,32,400,5296,2653,31.2,8329,73,5841,0,0,0,0,0,0,0,0,0,0
yolov5,2021/11/29,0,0,0,0,1499,2006,20,3,4,5242,5242,0,0,1.1,232,0,1,175590,1944,0,0,0,1,0,0,0,0,1,236,138,3,47,236,47,py=5853,32,400,5307,2664,31.3,8346,73,5853,0,0,0,0,0,0,0,0,0,0
yolov5,2021/12/6,0,0,0,0,1506,2013,20,3,4,5261,5261,0,0,1.1,234,0,1,176250,1959,0,0,0,1,0,0,0,0,1,238,139,3,47,238,48,py=5875,32,400,5326,2676,31.3,8377,73,5875,0,0,0,0,0,0,0,0,0,0
yolov5,2021/12/13,0,0,0,0,1513,2022,20,3,4,5268,5268,0,0,1.1,234,0,1,176460,1963,0,0,0,1,0,0,0,0,1,238,139,3,47,238,48,py=5882,32,401,5333,2679,31.3,8384,73,5882,0,0,0,0,0,0,0,0,0,0
yolov5,2021/12/20,0,0,0,0,1518,2027,20,3,4,5283,5283,0,0,1.1,236,0,1,176940,1976,0,0,0,1,0,0,0,0,1,240,141,3,47,240,48,py=5898,32,402,5348,2687,31.3,8410,73,5898,0,0,0,0,0,0,0,0,0,0
